acetylation and deacetylation of rela in nucleus,CREBBP EP300 HDAC3 NFKBIA RELA
actions of nitric oxide in the heart,AKT1 BDKRB2 CAMK2B CAV1 CHRM1 CHRNA1 FLT1 FLT4 GNAQ GNB1 GNGT1 GUCY1A2 GUCY1A3 GUCY1B2 GUCY1B3 GUCY2C GUCY2D GUCY2F HSP90AA1 KDR KNG1 NOS3 PDE2A PDE3A PDE3B PDPK1 PIK3CA PIK3R1 PLCG1 PLN PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PRKG1 PRKG2 RYR2 SLC7A1 TNNI1 VEGFA
activation of camp-dependent protein kinase pka,ADCY1 ADRA1B ADRB2 AGT AGTR2 CCL11 CCL4 CCR3 CCR5 CHRM1 CXCL12 CXCR4 EDN1 EDNRA EDNRB F2 FPR1 GNAS GNB1 GNGT1 HTR2C P2RY2 PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PTGER1
activation of csk by camp-dependent protein kinase inhibits signaling through the t cell receptor,ADCY1 ADRA1B ADRB2 AGT AGTR2 CCL11 CCL4 CCR3 CCR5 CD247 CD3D CD3E CD3G CD4 CHRM1 CREBBP CSK CXCL12 CXCR4 EDN1 EDNRA EDNRB F2 FPR1 GNAS GNB1 GNGT1 HLA-DRA HLA-DRB1 HTR2C LCK P2RY2 PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PTGER1 PTPRC TRA TRB ZAP70
activation of pkc through g-protein coupled receptors,AGT CCL11 CCL4 CXCL12 EDN1 F2 GNAQ PLCB1 PPP1R14A PRKCA PRKCB
adp-ribosylation factor,ARAP1 ARAP2 ARF1 ARFGAP1 ARFGAP3 ARFGEF1 ARFGEF2 ARHGAP1 ARHGAP4 ARHGAP5 ARHGAP6 ASAP1 ASAP2 CHN1 CLTA CLTB COP COPA CYTH1 CYTH2 CYTH3 CYTH4 GBF1 GPLD1 KDELR1 KDELR2 KDELR3 NCF2 RALBP1
agrin in postsynaptic differentiation,ACTA1 AGRN ARHGEF6 ARHGEF7 CDC42 CHRM1 CHRNA1 CTTN DAG1 DMD DVL1 EGFR GIT2 ITGA1 ITGB1 JUN LAMA1 LAMA2 LAMA3 LAMA4 LAMA5 LAMB1 LAMB2 LAMB3 LAMC1 LAMC2 LAMC3 MAPK1 MAPK3 MAPK8 MUSK NRG1 NRG2 NRG3 PAK1 PAK2 PAK3 PAK4 PAK6 PAK7 PTK2 PXN RAC1 RAPSN SP1 SRC UTRN
ahr signal transduction pathway,AHR AIP ARNT HSP90AA1
akap95 role in mitosis and chromosome dynamics,AKAP8 CCNB1 CDK1 DDX5 H3F3A H3F3B NCAPD2 NPY4R PPP2R5D PRKACB PRKACG PRKAG1 PRKAR2A PRKAR2B
akt signaling pathway,AKT1 BAD CASP9 CHUK FASLG FOXO1 FOXO3 FOXO4 GH1 GHR HSP90AA1 NFKBIA PDPK1 PIK3CA PIK3R1 PPP2CA RELA YWHAH
alk in cardiac myocytes,ATF2 BMP10 BMP2 BMP4 BMP5 BMP7 BMPR1A BMPR2 CHRD GATA4 MAP3K7 MEF2C MYL2 NKX2-5 NOG NPPA NPPB RFC1 SMAD1 SMAD4 SMAD5 SMAD6 TGFB1 TGFB2 TGFB3 TGFBR1 TGFBR2
alpha-synuclein and parkin-mediated proteolysis in parkinson`s disease,PARK2 SNCA
alternative complement pathway,C3 C5 C6 C7 C8A C8B C8G C9 CFD CFP
angiotensin ii mediated activation of jnk pathway via pyk2 dependent signaling,AGT AGTR1 ATF2 BCAR1 CAMK2B CRKL EGFR ELK1 FOS GNAQ GRB2 HRAS JUN MAP2K1 MAP2K2 MAP2K4 MAP3K1 MAPK1 MAPK3 MAPK8 MEF2A MEF2BNB-MEF2B MEF2C MEF2D PAK1 PLCG1 PRKCA PRKCB PTK2B RAC1 RAF1 SHC1 SOS1 SRC
anthrax toxin mechanism of action,MAP2K1 MAP2K2
antigen processing and presentation,B2M CD74 HLA-A HLA-DRA HLA-DRB1 KLK3 PSMB5 PSMB6 PSMB8 PSMB9 TAP1 TAP2
antisense pathway,ADAR MATR3 NONO SFPQ
apoptotic dna-fragmentation and tissue homeostasis,CASP3 CASP7 DFFA DFFB ENDOG GZMB H1F0 H1FOO H1FX HMGB1 HMGB2
apoptotic signaling in response to dna damage,AKT1 APAF1 ATM BAD BAX BCL2 BCL2L1 BID CASP3 CASP6 CASP7 CASP9 CYCS TP53
aspirin blocks signaling pathway involved in platelet activation,F2 F2R F2RL3 GNAI1 GNB1 GNGT1 HRAS MAP2K1 MAPK1 MAPK3 PLA2G4A PLCB1 PRKCA PRKCB PTGS1 RAF1 TBXAS1
atm signaling pathway,ABL1 ATM ATR BRCA1 CHEK1 CHEK2 GADD45A JUN MAPK8 MDM2 NFKBIA RAD51 RBBP8 RELA RPA1 TP53 TP73 TREX1
attenuation of gpcr signaling,ARRB1 GNAS GNB1 GNGT1 GRK4 PRKACB PRKACG PRKAR1A PRKAR1B PRKAR2A PRKAR2B PRKCA PRKCB
b cell survival pathway,AKT1 BIRC5 CASP3 CASP7 CCT4 DPF2 ITGA1 ITGB1 MTOR PDPK1 PIK3CA PIK3R1 ZBTB7A
basic mechanism of action of ppara pparb(d) and pparg and effects on gene expression,PPARA PPARD PPARG PTGS1 RXRA
basic mechanisms of sumoylation,SAE1 SUMO1 SUMO2 SUMO3 UBA2 UBE2I
bcr signaling pathway,BCR BLNK BTK CAMK2B CD79A CD79B CSNK2A1 ELK1 FOS GRB2 HRAS JUN LYN MAP2K1 MAP3K1 MAPK14 MAPK3 MAPK8 NFATC1 PLCG1 PPP3CA PPP3CB PPP3CC PRKCA PRKCB RAC1 RAF1 SHC1 SOS1 SYK VAV1
bioactive peptide induced signaling pathway,AGT AGTR2 CAMK2A CAMK2B CAMK2D CAMK2G CDK5 FYN GNA11 GNAI1 GNB1 GNGT1 GRB2 HRAS JAK2 MAPK1 MAPK14 MAPK3 MAPK8 MAPT MYLK PIK3CA PIK3R1 PLCG1 PRKCA PRKCB PTK2B SHC1 SOS1 STAT1 STAT3 STAT5A STAT5B
bone remodeling,CHUK FOS FOSL1 FOSL2 IFNAR1 IFNAR2 IFNB1 IKBKB IKBKG IRF9 MAPK8 NFKBIA RELA TNFRSF11A TNFSF11 TRAF6
brca1 dependent ub ligase activity,BARD1 BRCA1 FANCA FANCC FANCD2 FANCE FANCF FANCG
btg family proteins and cell cycle regulation,BTG1 BTG2 CCND1 CHAF1A CHAF1B HOXB9 PRMT1 RB1 TP53
ca-calmodulin-dependent protein kinase activation,CAMK2A CAMK2B CAMK2D CAMK2G CAMK4 CAMKK1 CAMKK2 CREB1
cadmium induces dna synthesis and proliferation in macrophages,CUZD1 FOS HRAS JUN MAP2K1 MAP2K2 MAPK1 MAPK3 MYC NFKBIA PLCB1 PRKCA PRKCB RAF1 RELA TNF
