sample,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75
sample1,1.789,0.437,0.096,-1.863,-0.277,-0.355,-0.083,-0.627,-0.044,-0.477,-1.314,0.885,0.881,1.71,0.05,-0.405,-0.545,-1.546,0.982,-1.101,-1.185,-0.206,1.486,0.237,-1.024,-0.713,0.625,-0.161,-0.769,-0.23,0.745,1.976,-1.244,-0.626,-0.804,-2.419,-0.924,-1.024,1.124,-0.132,-1.623,0.647,-0.356,-1.743,-0.597,-0.589,-0.874,0.03,-2.248,-0.268,1.013,0.853,1.108,1.119,1.488,-1.118,0.846,-1.861,-0.603,-1.914,1.048,1.334,-0.197,1.775,-0.675,0.151,0.153,-1.064,0.438,1.939,-1.025,0.899,-0.155,1.77,0.484
sample2,0.676,0.643,0.249,-1.396,1.392,-1.371,0.239,0.614,-0.838,0.145,1.168,-0.024,-0.889,-2.916,-0.972,-0.591,-0.516,-0.96,0.377,-0.575,-0.109,0.679,-0.855,-0.3,2.158,0.874,-1.294,-0.08,0.564,1.233,0.149,-0.531,-0.731,0.645,0.313,-0.517,-0.189,-0.416,0.725,-0.69,0.486,0.852,0.486,-0.834,1.345,-0.678,0.426,-0.753,-1.744,0.226,0.287,-0.077,0.276,-0.648,-0.737,-0.168,1.909,0.815,-0.52,0.559,-0.478,-0.457,0.859,-0.525,-1.676,-0.906,0.088,0.128,1.242,-0.716,0.731,0.426,-0.149,0.836,0.492
sample3,-0.862,1.072,-1.221,0.06,0.002,0.425,-0.725,-0.035,-0.141,0.997,-0.796,0.073,-0.261,-1.298,2.676,-0.071,-1.487,1.409,-1.071,0.371,0.863,-0.648,-0.431,-0.54,-0.129,-1.622,-1.236,-0.141,1.039,0.632,1.729,0.694,-0.511,-0.123,-2.03,-0.961,-1.02,0.271,0.648,-0.56,-0.589,-1.547,-0.128,0.248,0.446,-0.783,1.988,1.195,-0.095,-0.527,-0.322,0.151,-0.019,0.484,0.769,1.366,1.147,-0.11,0.388,-0.387,-0.587,1.911,-0.46,1.991,-0.349,0.253,1.089,0.024,0.393,-0.241,-0.476,-0.166,-0.65,1.631,-0.168
sample4,1.723,-2.685,0.018,0.562,-0.294,1.095,0.64,-0.275,0.435,2.812,0.252,0.3,-0.44,0.133,-1.289,-0.198,2.458,1.067,0.641,1.104,1.882,0.594,2.071,1.07,0.167,1.719,-2.359,-0.571,0.266,-0.912,-0.156,-0.639,-0.654,2.712,0.627,-0.054,1.315,-0.237,0.885,0.351,1.627,-1.42,0.766,0.122,-1.157,1.065,-0.872,1.619,0.513,0.695,0.08,0.905,-1.866,0.075,-0.628,0.283,-0.047,0.617,-0.838,1.839,2.316,-0.208,-0.015,0.288,1.264,1.897,-1.206,-0.615,-1.062,-1.113,-1.639,0.363,-1.159,1.503,0.908
sample5,-1.03,-1.03,-0.612,1.4,-0.85,-1.494,-0.049,0.373,-0.657,1.619,0.24,0.453,-0.856,-0.04,-0.157,-2.272,0.288,-1.795,-0.029,-1.474,2.02,0.326,0.861,0.919,-1.324,-2.282,-0.33,0.897,0.091,0.785,0.937,-1.492,0.288,1.966,-0.571,-2.029,-0.232,-0.465,0.418,-0.892,0.091,-2.217,0.854,1.587,1.298,-1.515,0.319,-2.984,0.283,-0.064,-0.996,0.344,0.138,0.94,0.127,0.235,-1.945,-1.16,-0.476,0.297,-0.006,1.501,-0.87,-0.24,0.255,-0.231,0.496,-0.571,1.42,-0.32,1.116,-0.03,1.492,-1.398,0.517
sample6,-0.433,0.231,1.193,-1.139,-1.322,-0.998,0.254,-1.887,0.097,-1.286,-1.144,-0.369,0.381,-0.626,-0.492,-0.042,-0.273,-2.677,-0.43,0.085,1.098,2.046,0.667,0.079,-0.965,0.089,0.779,1.265,-0.881,0.236,0.816,1.861,0.256,-0.542,-0.69,-0.357,-0.652,0.827,1.069,0.725,1.192,-0.454,0.38,-0.385,0.044,1.225,-0.03,-1.865,-0.253,-0.713,-1.509,-0.79,0.961,1.681,-0.489,1.003,1.178,-1.16,-0.039,-0.044,0.172,-1.594,-0.349,1.058,1.262,1.831,-0.338,1.87,0.666,-1.359,0.762,-0.352,0.519,-0.103,1.208
sample7,0.257,-0.283,0.965,0.256,-0.413,1.277,-0.408,-0.637,-0.54,-1.465,-0.553,1.861,-0.908,0.008,-1.108,-0.611,1.519,0.896,-0.61,0.006,-0.826,-0.784,-0.915,-0.897,0.326,0.597,0.488,-0.169,-1.358,-0.067,-0.924,0.881,0.556,0.747,-0.348,-1.811,0.958,1.226,-1.483,0.138,1.193,-1.076,1.768,-0.349,-1.075,1.372,0.295,-0.653,0.88,-1.956,1.815,-0.816,0.286,-0.399,0.436,0.888,-0.824,0.786,-0.294,-0.688,-0.224,-1.005,-0.796,0.949,-0.151,1.142,0.432,-1.026,-1.898,-0.687,0.264,0.009,-0.83,1.013,-1.746
sample8,-1.259,0.127,2.194,0.414,-1.005,0.593,0.683,0.938,-0.41,-0.8,0.118,0.415,1.598,2.09,-0.733,-0.523,-0.064,-0.25,0.486,0.486,0.258,1.344,-0.159,-1.051,-1.561,-1.028,-1.044,-1.883,0.663,0.185,-0.423,-0.89,-1.581,-0.92,1.848,-2.211,0.142,0.744,0.136,-0.317,0.768,-1.103,0.556,1.431,-1.041,-0.82,0.136,0.99,1.339,0.681,-0.67,-1.114,0.243,0.398,-1.101,0.06,0.332,1.045,-0.991,0.557,-1.169,-0.427,-0.078,1.518,3.314,0.254,0.495,1.008,-1.362,0.766,-1.242,1.629,1.443,0.502,-0.807
sample9,1.668,0.26,0.11,0.58,-1.712,0.428,0.996,0.339,0.145,-0.954,0.644,0.2,0.009,-0.563,0.856,1.247,0.388,0.897,1.326,1.588,0.226,-0.213,-0.415,0.014,0.552,0.938,-0.427,0.15,-0.997,1.264,-0.391,0.358,-0.719,-0.298,-0.686,1.705,0.359,-0.166,-0.948,-0.61,0.569,1.666,-1.431,-0.917,-0.176,-0.628,-1.659,0.019,0.751,-1.577,0.211,0.965,0.98,-0.42,2.305,0.555,-0.811,0.984,-1.123,0.895,-1.262,0.791,-0.584,1.132,0.741,0.447,0.059,1.087,-1.803,0.433,0.413,0.562,0.826,3.702,0.117
sample10,0.804,0.152,1.573,-2.021,1.698,-0.684,-2.262,-1.078,-0.175,0.194,-0.046,0.817,-0.035,-0.063,-2.144,0.487,1.01,-0.421,-1.877,-1.337,1.674,-0.606,-0.665,-0.819,0.681,-0.588,-0.869,-1.506,-0.108,1.001,-0.148,0.882,0.175,0.148,0.179,0.034,1.026,0.488,-0.578,0.129,-0.076,0.485,0.18,0.415,-1.477,0.38,1.314,-1.35,1.601,0.297,-0.208,-1.804,1.088,-0.97,-0.511,0.546,-1.026,-0.987,-1.151,-0.111,0.589,0.403,0.407,-0.344,0.14,-0.69,1.998,0.195,-1.955,-1.069,1.601,-1.366,-0.438,0.404,-1.097
