sample,response
sample1,1
sample2,1
sample3,1
sample4,-1
sample5,-1
sample6,1
sample7,-1
sample8,-1
sample9,1
sample10,1
sample11,1
sample12,-1
sample13,1
sample14,-1
sample15,-1
sample16,1
sample17,1
sample18,1
sample19,-1
sample20,1
sample21,-1
sample22,-1
sample23,-1
sample24,1
sample25,-1
sample26,1
sample27,-1
sample28,1
sample29,-1
sample30,1
sample31,1
sample32,1
sample33,1
sample34,-1
sample35,-1
sample36,-1
sample37,1
sample38,1
sample39,1
sample40,1
sample41,-1
sample42,-1
sample43,-1
sample44,1
sample45,1
sample46,-1
sample47,-1
sample48,1
sample49,-1
sample50,-1
sample51,-1
sample52,1
sample53,1
sample54,-1
sample55,1
sample56,1
sample57,-1
sample58,-1
sample59,1
sample60,-1
sample61,-1
sample62,-1
sample63,-1
sample64,-1
sample65,1
sample66,-1
sample67,-1
sample68,-1
sample69,-1
sample70,1
sample71,1
sample72,-1
sample73,1
sample74,1
sample75,-1
sample76,-1
sample77,-1
sample78,1
sample79,-1
sample80,1
sample81,1
sample82,1
sample83,-1
sample84,-1
sample85,-1
sample86,-1
sample87,1
sample88,1
sample89,-1
sample90,-1
sample91,1
sample92,1
sample93,1
sample94,1
sample95,1
sample96,-1
sample97,-1
sample98,1
sample99,-1
sample100,-1
sample101,-1
sample102,1
sample103,1
sample104,-1
sample105,-1
sample106,-1
sample107,-1
sample108,-1
sample109,1
sample110,-1
sample111,1
sample112,-1
sample113,-1
sample114,1
sample115,-1
sample116,1
sample117,1
sample118,1
sample119,-1
sample120,-1
sample121,1
sample122,-1
sample123,-1
sample124,1
sample125,-1
sample126,1
sample127,1
sample128,-1
sample129,-1
sample130,-1
sample131,-1
sample132,-1
sample133,1
sample134,-1
sample135,1
sample136,1
sample137,1
sample138,1
sample139,-1
sample140,-1
sample141,-1
sample142,1
sample143,1
sample144,1
sample145,-1
sample146,-1
sample147,1
sample148,1
sample149,-1
sample150,1
sample151,1
sample152,1
sample153,-1
sample154,-1
sample155,-1
sample156,1
sample157,1
sample158,1
sample159,-1
sample160,1
sample161,-1
sample162,1
sample163,-1
sample164,-1
sample165,1
sample166,1
sample167,1
sample168,1
sample169,1
sample170,1
sample171,1
sample172,1
sample173,-1
sample174,1
sample175,-1
sample176,-1
sample177,-1
sample178,-1
sample179,-1
sample180,1
sample181,1
sample182,-1
sample183,1
sample184,1
sample185,1
sample186,1
sample187,-1
sample188,-1
sample189,-1
sample190,-1
sample191,1
sample192,1
sample193,1
sample194,-1
sample195,-1
sample196,-1
sample197,1
sample198,-1
sample199,-1
sample200,-1
sample201,1
sample202,1
sample203,-1
sample204,1
sample205,-1
sample206,-1
sample207,1
sample208,-1
sample209,1
sample210,-1
sample211,-1
sample212,1
sample213,-1
sample214,-1
sample215,1
sample216,1
sample217,-1
sample218,1
sample219,1
sample220,-1
sample221,1
sample222,-1
sample223,1
sample224,1
sample225,1
sample226,1
sample227,-1
sample228,-1
sample229,-1
sample230,-1
sample231,1
sample232,-1
sample233,-1
sample234,1
sample235,-1
sample236,1
sample237,1
sample238,1
sample239,1
sample240,-1
sample241,-1
sample242,-1
sample243,-1
sample244,1
sample245,-1
sample246,1
sample247,1
sample248,1
sample249,1
sample250,1
sample251,-1
sample252,1
sample253,1
sample254,1
sample255,-1
sample256,-1
sample257,1
sample258,1
sample259,-1
sample260,-1
sample261,-1
sample262,-1
sample263,1
sample264,-1
sample265,-1
sample266,-1
sample267,-1
sample268,1
sample269,1
sample270,-1
sample271,1
sample272,-1
sample273,1
sample274,1
sample275,1
sample276,-1
sample277,-1
sample278,-1
sample279,1
sample280,1
sample281,1
sample282,-1
sample283,-1
sample284,-1
sample285,-1
sample286,1
sample287,1
sample288,1
sample289,-1
sample290,1
sample291,1
sample292,-1
sample293,1
sample294,-1
sample295,1
sample296,1
sample297,1
sample298,-1
sample299,1
sample300,1
